ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
234591,CRINKLE CUT FRIES,"1/2"" X 1/2""",6 / 5.0 LB,TASTEE SPU,10071179223108,"",A,$22.79,UNIT,0.7596666666666666,PER LB,90007
234665,STRAIGHT FRIES,"3/8"" X 3/8"" SKIN ON ZT",6 / 5.0 LB,SELECT REC,10071179231080,"",A,$40.01,UNIT,1.3336666666666666,PER LB,90007
234694,SWEET POTATO FRIES,THIN CUT,6 / 2.5 LB,SIMPLOT SW,10071179016441,"",B,$33.21,UNIT,2.214,PER LB,90007
234563,FRIES,JULIENNE MEGACRUNCH,6 / 4.5 LB,SIMPLOT,10071179479956,"",B,$43.19,UNIT,1.5996296296296295,PER LB,90007
234618,TATER POTATO,ZT,6 / 5.0 LB,SIMPLOT,10071179004189,"",A,$43.51,UNIT,1.4503333333333333,PER LB,90007
234637,STEAK FRIES ,"3/8"" X 3/4"" SKIN ON SC XLF",6 / 5.0 LB,SELECT REC,10071179233015,"",B,$40.7,UNIT,1.3566666666666667,PER LB,90007
211076,LOBSTER BISQUE SOUP,"",4 / 4.0 LB,CAMPBELL'S,10019001210681,596660,B,$58.84,UNIT,3.6775,PER LB,4258
194576,WHITE SHRIMP,21-25 PDTF IQF,12 / 3.0 LB,CHANNEL MA,10884724500865,"",C,$460.43999999999994,UNIT,12.79,PER LB,2158
199033,KING CRAB LEGS/CLAWS,14/17 CT,1 / 10.0 LB,PACKER,29714113158,"",&,$185.3,UNIT,18.53,PER LB,5448
194388,LOBSTER TAIL,7 OZ ROCK,4 / 10.0 LB,SKAGGS,194388,"",C,$759.2,UNIT,18.98,PER LB,2431
3194388,LOBSTER TAIL,7 OZ ROCK,1 / 10.0 LB,SKAGGS,3194388,"","",$208.0,UNIT,20.8,PER LB,2431
10258,TORTILLA CHIPS,"WHITE CORN, PRE CUT",2 / 15.0 LB,ARTURO'S,73366224694,"",&,$47.85,UNIT,1.595,PER LB,5020
112107,FLAP MEAT ,NAT MBG 185A,4 / 2.0 LB,PANIOLO CA,50PCC260CZ,"",R,$5.47,PER LB,,,2783
112108,SHOULDER TENDER,NAT 114F,5 / 0.5 LB,PANIOLO CA,50PCC270CZ,"",*,$5.47,PER LB,,,2783
115738,ROUND EYE SELECT,MBG 171C,12 / 6.0 LB,EXCEL,3115738,"",&,$3.0,PER LB,,,5068
202030,MINATURE POPCORN,MAXI KIT RAW,36 / 8.0 OZ,FANCY FARM,27553123062,407373,S,$33.8,UNIT,0.1173611111111111,PER OZ,2492
234604,SHOESTRING FRIES,"1/4"" XLF",6 / 4.5 LB,CONQUEST,10071179479987,"",A,$40.86,UNIT,1.5133333333333334,PER LB,90007
292029,HABANERO PEPPER,"",1 / 10.0 LB,"","",635,&,$43.78,UNIT,4.378,PER LB,8100
3010258,TORTILLA CHIPS,"WHITE CORN, PRE CUT",1 / 15.0 LB,ARTURO'S,3010258,"","",$31.22,UNIT,2.0813333333333333,PER LB,5020
295026,STRAWBERRIES,FRESH,8 / 1.0 LB,PACKER,"",6606,&,$34.66,UNIT,4.3325,PER LB,8100
295103,BLUEBERRIES,FRESH,12 / 8.0 OZ,PACKER,"",6621,&,$47.41,UNIT,0.49385416666666665,PER OZ,8100
295104,BLACKBERRIES,FRESH,12 / 1.0 BSKT,PACKER,"",6622,&,$44.3,UNIT,3.6916666666666664,PER BSKT,8100
295105,RASPBERRIES,FRESH,12 / 1.0 BSKT,PACKER,"",6642,&,$42.91,UNIT,3.575833333333333,PER BSKT,8100
295202,FRESH LEMON,"",1 / 40.0 LB,PACKER,295202,5476,&,$50.24,UNIT,1.256,PER LB,8100
295218,FRESH LIMES,"",1 / 40.0 LB,PACKER,"",5489,&,$32.12,UNIT,0.8029999999999999,PER LB,8100
3295026,STRAWBERRIES,FRESH,1 / 1.0 LB,PACKER,715756200023,6606,"",$4.51,UNIT,,,8100
3295103,BLUEBERRIES,FRESH,1 / 1.0 BSKT,PACKER,33383222288,6621,"",$4.51,UNIT,,,8100
3295104,BLACKBERRIES,FRESH,1 / 1.0 BSKT,PACKER,715756100200,6622,"",$3.68,UNIT,,,8100
3295105,RASPBERRIES,FRESH,1 / 1.0 BSKT,PACKER,715756100019,6642,"",$3.57,UNIT,,,8100
292316,CAULIFLOWER,"",12 / 1.0 CT,PACKER,"",1425,&,$28.04,UNIT,2.3366666666666664,PER CT,8100
292381,CELERY ,SLEEVED,30 / 1.0 CT,PACKER,"",1449,&,$31.86,UNIT,1.062,PER CT,8100
3292105,RED A'S POTATO,"",1 / 5.0 LB,PACKER,813756010120,72297,"",$3.35,UNIT,0.67,PER LB,3709
3292316,CAULIFLOWER,"",1 / 1.0 CT,PACKER,885443699994,"","",$2.79,UNIT,,,8100
3292381,CELERY ,SLEEVED,1 / 1.0 CT,PACKER,71430047002,"","",$1.21,UNIT,,,8100
292602,CELLO SPINACH,"",4 / 2.5 LB,PACKER,"",1143,&,$24.51,UNIT,2.451,PER LB,8100
3292333,ASPARAGUS,LARGE,1 / 1.0 LB,PACKER,71430044568,4080,"",$4.11,UNIT,,,8100
3292602,CELLO SPINACH,"",1 / 2.5 LB,PACKER,33383652702,"","",$6.12,UNIT,2.448,PER LB,8100
292009,RED BELL PEPPER,"",5 / 5.0 LB,PACKER,"",75446,&,$46.15,UNIT,1.8459999999999999,PER LB,8100
3292009,RED BELL PEPPER,"",1 / 5.0 LB,PACKER,763478731073,75446,"",$9.71,UNIT,1.9420000000000002,PER LB,8100
291713,GREEN LEAF LETTUCE,"",8 / 3.0 PK,PACKER,"",75529,&,$35.68,UNIT,1.4866666666666666,PER PK,8100
291714,LETTUCE HEAD,"",8 / 3.0 PK,PACKER,"",75530,&,$34.52,UNIT,1.4383333333333335,PER PK,8100
291716,ROMAINE LETTUCE,"",8 / 3.0 PK,PACKER,"",75531,&,$39.89,UNIT,1.6620833333333334,PER PK,8100
291805,RED ONION,JUMBO,1 / 25.0 LB,PACKER,"",2176,&,$30.2,UNIT,1.208,PER LB,8100
291814,WHITE ONION,"",1 / 25.0 LB,PACKER,"",588,&,$26.04,UNIT,1.0415999999999999,PER LB,8100
3291713,GREEN LEAF LETTUCE,"",1 / 3.0 PK,PACKER,"","","",$4.46,UNIT,1.4866666666666666,PER PK,8100
3291714,LETTUCE HEAD,"",1 / 3.0 PK,PACKER,"","","",$5.15,UNIT,1.7166666666666668,PER PK,8100
3291715,RED LEAF LETTUCE,"",1 / 3.0 PK,PACKER,"","","",$4.54,UNIT,1.5133333333333334,PER PK,8100
3291716,ROMAINE LETTUCE,"",1 / 3.0 PK,PACKER,"","","",$4.98,UNIT,1.6600000000000001,PER PK,8100
3291806,SWEET ONION,"",1 / 2.0 LB,PACKER,851339002001,73821,"",$2.7,UNIT,1.35,PER LB,8100
